id,content
0,"
Fiscalité
− Que le taux de CSG sur les retraites soit calculé individuellement et non sur le revenu du foyer.
Pour éviter la surmajoration de ce taux sur une petite retraite.
− Suppression de la loi Pinel qui ne profite qu'aux riches.
− Diminution de la CSG sur les revenus fonciers à 17,2%.
− Que l'impôt sur le revenu soit calculé en tenant compte des impôts déjà payés (taxe d'habitation,
foncier, CSG en totalité et divers).
− Il est scandaleux de payer des impôts sur des impôts.
− Suppression de la hausse de la CSG à tous les retraités.
− Stop aux 2 % de contribution solidaire.
− Racket sur les retraités qui paient pour les actifs.
− Indexation des retraites ""réelle"" sur l'inflation.
Politique
− Non-cumul des mandats des élus.
− Nous demandons la proportionnelle au nom de la démocratie et que le vote blanc soit pris en
compte.
− Non au vote électronique qui permet la tricherie.
− Non au septennat.
− Référendum pour les grandes questions.
− Renationaliser l'EDF, les autoroutes, la poste, etc.
Justice
− Pour certains condamnés, suppression des remises de peine et perpétuité réelle.
− Suppression de la double nationalité.
− Vidons les prisons en renvoyant les petits délinquants étrangers dans leur pays avec interdiction
de retour.
− Isolement réel des fichés S politiques.
− La peine capitale pour les auteurs d'attentats considérés comme acte de guerre envers la Nation.
Immigration
− Acceptée pour les réfugiés de guerre. Non aux réfugiés climatiques et économiques. Non à
l'éducation très très onéreuse des soi-disant mineurs.
− Renvoi des déboutés chez eux.
Sanitaire
− Quarantaine des immigrants venant d'Afrique avant pandémie du virus EBOLA, tuberculose.
Nous voyons ce que le SIDA a fait, d'où l'importance des frontières.
Sans arrière-pensées, après réflexions et observations."
1,"
1 Mise en place du RIC CARL en toutes matières.
Référendum d'initiative citoyenne, c'est le droit pour le peuple !
Constituant (modifier la constitution)
Abrogatoire (annuler les lois)
Révocatoire (renvoyer un élu)
Législatif (proposer des lois).
Et former un comité citoyen dans le but de soumettre un ultimatum au gouvernement Macron.
2 Remise en place de l’ISF.
3 Baisse immédiate de la TVA à 5,5 % pour les produits de premières nécessités (nourriture,
carburants, EDF, gaz...).
4 Rehausser la TVA sur les produits de luxe à 33 %.
5 Réemprunter à la Banque de France et non plus aux banques privées.
6 Abolition des privilèges et avantages des élus y compris les frais d'obsèques et des indemnités
présidentielles à vie, avec mise en place du salaire médian ainsi que des pénalités substantielles en
cas d'absence non justifiée à l’Assemblée nationale et au Sénat comme tous salariés.
Remboursement des frais sur justificatifs.
7 Retraite à 60 ans avec un minima de 1200 euros nets par mois sans CSG.
8 Récupérer la fraude fiscale de 80 milliards pour rembourser les intérêts de la dette.
9 Baisse des charges salariales et patronales (artisans/PME, etc.) et impôts obligatoires pour les
grosses entreprises qui font des profits avec la France tel que Amazon, McDonald’s, Carrefour, etc.
10 PAS DE PRÉLÈVEMENT D'IMPÔTS À LA SOURCE.
11 Prime et heures supplémentaires défiscalisées.
12 CASIER VIERGE OBLIGATOIRE pour chaque élu. En cas de faute : licenciement sans indemnités et
sans reclassement, comme les citoyens.
13 Taxer les plus gros pollueurs utilisant du kérosène comme les avions et les cargos, etc.
14 Protéger l'industrie française en interdisant les délocalisations.
15 INTERDICTION de vendre les biens français et récupérer nos autoroutes ou renversement de
dividendes aux Français.
16 Revalorisation des revenus tous métiers confondus et handicap, avec indexation à l'inflation.
17 Révision à la baisse du système des frais bancaires abusifs et fin des frais de tenue de compte.
18 Suppression des 11 vaccins pour les enfants et les remettre à 3 obligatoires qui ne profitent qu'à
l'industrie pharmaceutique et aux lobbies (SANOFI).
19 Durcissement de la loi pour les violeurs et pédophiles avec interdiction de donner les
coordonnées des victimes.
20 Fin des routes à 80 avec repassage à 90 immédiatement.
21 Modification de l'article 16 de la Constitution qui ne donnerait pas les pleins pouvoirs au
président au cas de crise mais à plusieurs personnes.
FIN DE L'OLIGARCHIE...BIEN MAL ACQUIS NE PROFITE JAMAIS
UN PEUPLE EN COLÈRE
LES GILETS JAUNES"
2,"RIC CARL en toutes matières."
3,"
 Suppression du Sénat.
 Suppression statut des anciens présidents République excepté pour le dernier.
 Meilleur contrôle des très hauts et hauts fonctionnaires (allers/retours privé/public,
""pantouflage"").
 Augmentation effectifs police/éducation nationale/hôpitaux.
 Suppression numerus clausus.
 Obligation pour médecins nouvellement diplômés d'installation dans zones sans médecin.
 Retour ISF et TH.
 Création d'un nouveau taux d'imposition supérieur.
 Création d'un plafond et d'un plancher pour les retraites (privé/public).
 Application stricte de la réquisition sur les logements vacants ainsi que du taux de logements
sociaux dans communes.
 Limitation à 2 mandats pour tous les élus.
 Taxation des entreprise résidentes à l'étranger mais faisant des profits en France.
 Améliorer la chasse à la fraude fiscale."
4,"
Fiscalité : remettre l'impôt ISF.
Réindexer les retraites sur l'inflation, avoir un minimum de 1500 € de retraite.
Supprimer l'impôt CSG pour les retraités qui gagnent moins de 2000 € par mois pour une personne
seule, et 4000 € par mois pour un couple.
Plus de respect pour les chômeurs, arrêter de les sanctionner. Plus de formations qui débouchent sur
un travail.
Des représentants du peuple tirés au sort pour l'Assemblée nationale qui représentent le peuple,
même voix qu'un député comme en Islande.
Plus de professeurs dans les collèges-lycées, mieux payés. Plus de personnels soignants, aides-
soignantes, infirmières. Infirmier libéral : augmenter leur rémunération, frais de déplacement.
Plus de personnels dans les hôpitaux : infirmiers, aides-soignants, ainsi que les maisons de retraite,
mieux payés.
Écologie :
Supprimer tous les pesticides dans l'agriculture et faire de l'agriculture bio.
Apprendre aux enfants, adultes, le respect de la nature, ne pas jeter dans la nature nos déchets. Le
respect de l'environnement.
Social :
Étendre la PMA aux couples homosexuels. Autoriser la GPA en France. Enlever la CSG ou faire plus de
tranches. Le taux de prélèvement proportionnel au revenu. Ou le mettre dans l'impôt sur le revenu.
L'émigration : nous pouvons accueillir car nous sommes un pays riche, dans les règles de la législation
française. Faire une politique non raciste. Contre le racisme et l'homophobie.
Que la France reste un pays laïc.
Il y a trop de niches fiscales. Des gens qui ne payent plus d'impôt en France vivent dans un autre pays
et se font soigner avec la carte VITALE (des artistes)...
Lutter réellement contre l'évasion et la fraude fiscale pour l'Europe. L'impôt sur les sociétés est trop
bas. Je réclame plus de justice sociale, pas de salaire supérieur à 5 fois le SMIG, jusqu'à 10 000 €. Au-
dessus, plus c'est indécent."
5,"
- Fiscalité : revoir les tranches d'imposition car trop d'écart entre le 1er montant de la tranche avec
celui qui clôture la tranche, ce qui entraîne le barème de taux imposition.
- Écologie : supprimer les pesticides, trop de drames humanitaires sur la santé.
- Revoir le nombre de sénateurs ainsi que les privilèges (trop de dépenses).
- Prendre en compte le vote (nul) blanc.
- Revoir pour indexer sur le coût de la vie, les pensions de retraite.
- La hausse de la CSG sur les pensions est inadmissible en raison du gel des retraites.
- Perte énorme de pouvoir d'achat.
- Prix en euros très élevés.
- Accompagner les mesures de transition écologique progressivement.
- Reste disponible pour débattre sur les thèmes."
6,"
- Supprimer la taxe de 1,2 % mise sur les retraites.
- Rétablir la taxe d'habitation (révisée et réactualisée au plus juste suivant les habitations) (pour
redonner de l'argent aux communes sans avoir besoin d'augmenter la taxe foncière).
- Faire une transition écologique sans ajouter des taxes, et donner du temps aux gens de changer de
voiture ou de chaudière selon leurs moyens.
- Réétudier la limitation de vitesse à 80 km/h selon la dangerosité des routes (70/80/90)."
7,"
1) Toutes les personnes qui s'engagent dans la vie politique devraient être dans l'obligation, avant,
de se trouver un travail (payé au salaire minimum), de se trouver un logement, de subvenir aux
besoins complets de sa vie (famille, voiture, logement, nourriture, éducation...) sans aides
extérieures autres que celles auxquelles le citoyen ordinaire peut prétendre. Et après une période de
6 à 12 mois seulement, la carrière politique pourrait commencer, peut-être que le monde réel serait
présent dans les hautes sphères.
2) Il est inadmissible que dans un couple, seulement une personne soit reconnue (souvent l’homme).
Pourquoi un seul nom, sur tous les documents : les impôts, l'eau, l'électricité, le téléphone... Lors
d'un divorce, par exemple, récupérer le numéro fiscal du couple par la femme est quasiment
impossible.
Un couple : deux entités sur un pied d'égalité ; l'un ne vit pas dans l'ombre de l'autre et il existe de la
même façon, et pas seulement pour payer si éventuellement le 1er fait défaut ! Nous sommes en
2019 et, au lieu de toujours revenir sur des acquis (peine de mort, mariage pour tous, PMA),
avançons et trouvons des choses nouvelles, le conservatisme bloque cette avancée. Vivre ensemble,
oui, mais tous égaux, avec les mêmes droits."
8,"Le premier sujet porte sur nos impôts, nos dépenses et l’action publique :
Pour rendre notre fiscalité plus juste il convient de baisser en priorité la CSG qui est un impôt injuste
car, à part les très bas revenus, les taux sont les mêmes pour tous.
Cette baisse de la CSG peut être compensée équitablement par le retour de l’ISF qui était l’impôt de
Solidarité sur la fortune.
Il faut revenir sur les trop nombreuses niches fiscales qui grèvent les finances et vont à l’encontre de
l’équité du prélèvement de l’impôt.
Il faut prévoir l’augmentation et l’indexation des prestations sociales pour les familles défavorisées et
les classes moyennes, sans oublier les minima sociaux.
Prévoir l’indexation du montant des retraites sur le coût de la vie.
Lutter réellement contre l’évasion et la fraude fiscale.
Il faut arrêter le dumping fiscal au niveau européen, exemple aux Pays-Bas ou en Irlande : l'impôt sur
les sociétés est très bas ce qui accentue l’euroscepticisme qui représente un réel danger pour la
sécurité géopolitique.
Il est important de repenser le CICE qui ne doit pas être une subvention aux actionnaires et
provoquer une explosion des dividendes et donc une augmentation des inégalités.
Il faut revoir et intensifier la lutte contre les inégalités en agissant pour que les gains des entreprises
soient équitablement répartis entre les augmentations de salaire des employés et les dividendes des
actionnaires et ne soient pas accaparés par ces derniers et par les cadres dirigeants comme c’est le
cas au cours des dernières décennies.
Le deuxième sujet, concerne l’organisation de l’État et des collectivités publiques :
Les services publics sont vitaux : école, police, armée, hôpitaux, tribunaux sont indispensables à
notre cohésion sociale. Il est donc indispensable de maintenir un maillage suffisant des services
publics dans les territoires. Chaque Français devrait être à moins de trente minutes de ses services
publics.
La décentralisation doit être renforcée, mais avec le retour du pouvoir des maires sur les questions
qui touchent ses administrés et éviter la dilution des compétences (ville, communauté de communes,
département, région). On pourrait parler d’une centralisation communale avec possibilité de
consultation des administrés pour les questions importantes.
La transition écologique est le troisième thème :
La transition écologique doit être abordée comme un transfert de charge avec un meilleur ciblage
des investissements en favorisant les énergies renouvelables. La réalisation systématique de
couvertures avec des panneaux solaires des nouvelles constructions.
Il faut développer les transports en commun notamment en milieu rural. Prévoir d’aider les ménages
pour améliorer l’isolation des logements.
Diminuer les emballages en pénalisant les industriels qui en produisent trop.
Pour la santé de tous il est urgent d’interdire l’utilisation des pesticides notamment le glyphosate.
Redonner plus de force à la démocratie et la citoyenneté :
Notre système actuel de démocratie représentative est à bout de souffle ; il est urgent d’instituer
une part de démocratie participative.
Une dose de proportionnelle de 30 % aux élections législatives permettrait une représentation plus
juste de tous les courants politiques.
Pour éviter l’appropriation du pouvoir par l’élite, il serait intéressant de créer une assemblée
populaire constituée de Français tirés au sort sur les listes électorales."
9,"Pouvoir d'achat (principale revendication des Gilets jaunes).
La mondialisation des échanges et de l'économie induit de plus [en plus] de travailleurs pauvres en
France et dans tous les pays d'Europe. Les « Gilets Jaunes » sont les porte-parole de cette
désespérance sociale. On sait que les richesses planétaires sont confisquées entre les mains de
quelques individus. Chez nous les entreprises du CAC 40 ont distribué aux seuls actionnaires 57
milliards de dividendes.
Tout cela est véritablement indécent, scandaleux. Et Ia crise ne se résoudra pas sans la refondation
d'un contrat social. Il faut remettre l'homme et non l'économie au centre du jeu et établir un
rapport capital/travail équitable."
